user_id,install_date,singup_date,singup_method,device_type,country,age_group,gender,referral_Source,Is_premier_user
u0001,10/26/2024,,Phone,Android,UK,18-24,Male,Ornagic,no
u0002,10/30/2024,11/1/2024,Google,Android,USA,35-44,Female,Ornagic,no
u0003,12/2/2024,12/4/2024,Google,Android,USA,18-24,Female,Ads,no
u0004,12/1/2024,,Email,Android,UK,18-24,Female,Ads,no
u0005,10/8/2024,10/10/2024,Phone,Android,India,18-24,Male,Ornagic,no
u0006,11/25/2024,11/27/2024,Google,Android,UK,18-24,Female,Ads,no
u0007,11/14/2024,11/16/2024,Google,Android,UK,25-34,Male,Ornagic,no
u0008,10/5/2024,,Google,Android,India,35-44,Female,Ads,no
u0009,12/15/2024,12/17/2024,Email,IOS,India,18-24,Others,Influencer,no
u00010,11/17/2024,,Google,Android,India,18-24,Female,Ads,yes
u00011,12/20/2024,,Phone,IOS,USA,25-34,Male,Ads,no
u00012,12/12/2024,12/14/2024,Google,IOS,India,18-24,Male,Ads,no
u00013,11/9/2024,11/11/2024,Google,Android,India,25-34,Male,Influencer,yes
u00014,12/23/2024,12/25/2024,Google,Android,India,18-24,Male,Influencer,no
u00015,12/15/2024,12/17/2024,Google,Android,USA,25-34,Male,Ads,no
u00016,12/7/2024,,Google,Android,USA,25-34,Others,Ads,no
u00017,10/20/2024,10/22/2024,Google,IOS,USA,25-34,Male,Ads,no
u00018,10/28/2024,10/30/2024,Email,Android,USA,45+,Male,Ads,no
u00019,11/16/2024,11/18/2024,Email,Android,UK,18-24,Others,Ornagic,no
u00020,11/15/2024,11/17/2024,Google,Android,UK,25-34,Female,Ornagic,no
u00021,11/22/2024,11/24/2024,Google,Android,India,18-24,Others,Ads,no
u00022,10/3/2024,10/5/2024,Phone,Android,UK,18-24,Male,Ads,no
u00023,12/27/2024,12/29/2024,Email,Android,USA,25-34,Male,Ads,no
u00024,12/6/2024,12/8/2024,Phone,Android,India,18-24,Male,Ornagic,no
u00025,10/25/2024,,Google,Android,India,18-24,Female,Ads,no
u00026,12/24/2024,12/26/2024,Google,Android,India,18-24,Female,Ads,no
u00027,12/21/2024,12/23/2024,Phone,Android,USA,18-24,Female,Influencer,no
u00028,11/19/2024,,Google,IOS,India,18-24,Others,Ads,no
u00029,12/27/2024,12/29/2024,Google,Android,India,25-34,Male,Influencer,no
u00030,10/23/2024,10/25/2024,Phone,Android,USA,18-24,Female,Ads,no
u00031,11/20/2024,11/22/2024,Google,Android,India,18-24,Male,Ads,no
u00032,10/3/2024,,Phone,Android,USA,25-34,Female,Ornagic,yes
u00033,10/20/2024,10/22/2024,Google,Android,USA,18-24,Female,Ornagic,no
u00034,11/27/2024,11/29/2024,Email,Android,USA,25-34,Others,Ads,no
u00035,12/22/2024,12/24/2024,Email,Android,USA,18-24,Female,Ornagic,no
u00036,10/3/2024,10/5/2024,Phone,Android,USA,18-24,Male,Ornagic,no
u00037,11/3/2024,11/5/2024,Google,Android,USA,18-24,Female,Ads,no
u00038,11/23/2024,,Google,Android,USA,18-24,Female,Ornagic,no
u00039,11/3/2024,,Google,Android,India,25-34,Female,Influencer,no
u00040,12/22/2024,12/24/2024,Email,Android,India,25-34,Male,Influencer,no
u00041,11/5/2024,11/7/2024,Email,Android,India,18-24,Female,Ads,no
u00042,12/15/2024,12/17/2024,Google,Android,India,25-34,Others,Ornagic,yes
u00043,12/11/2024,12/13/2024,Email,Android,UK,35-44,Male,Ornagic,no
u00044,11/7/2024,11/9/2024,Email,Android,India,18-24,Female,Ads,no
u00045,10/10/2024,10/12/2024,Email,Android,USA,25-34,Male,Influencer,no
u00046,11/27/2024,11/29/2024,Email,Android,India,18-24,Female,Ornagic,no
u00047,10/31/2024,11/2/2024,Phone,IOS,USA,18-24,Female,Ornagic,yes
u00048,10/13/2024,10/15/2024,Google,Android,India,18-24,Male,Ads,no
u00049,10/31/2024,11/2/2024,Google,IOS,USA,25-34,Others,Ornagic,no
u00050,10/3/2024,10/5/2024,Email,Android,UK,18-24,Others,Ornagic,no
u00051,12/18/2024,12/20/2024,Email,IOS,USA,25-34,Male,Ornagic,yes
u00052,11/3/2024,11/5/2024,Email,Android,India,18-24,Others,Ornagic,no
u00053,12/25/2024,12/27/2024,Phone,IOS,USA,45+,Male,Ads,no
u00054,11/13/2024,,Google,Android,India,18-24,Female,Ornagic,yes
u00055,12/10/2024,12/12/2024,Email,Android,USA,18-24,Female,Ornagic,no
u00056,12/27/2024,12/29/2024,Email,Android,India,18-24,Male,Ads,no
u00057,11/27/2024,11/29/2024,Google,Android,India,18-24,Female,Ads,no
u00058,10/18/2024,10/20/2024,Phone,Android,UK,25-34,Male,Ornagic,yes
u00059,12/7/2024,12/9/2024,Google,Android,USA,18-24,Male,Ads,no
u00060,12/22/2024,,Google,Android,Others,18-24,Others,Ornagic,no
u00061,12/19/2024,12/21/2024,Email,Android,USA,18-24,Male,Ornagic,no
u00062,11/14/2024,,Google,Android,UK,18-24,Female,Ornagic,no
u00063,12/22/2024,12/24/2024,Phone,Android,UK,18-24,Male,Ornagic,no
u00064,12/27/2024,,Email,Android,India,25-34,Female,Ornagic,no
u00065,11/24/2024,11/26/2024,Phone,Android,India,18-24,Female,Ads,no
u00066,11/22/2024,11/24/2024,Google,Android,USA,25-34,Female,Influencer,no
u00067,10/15/2024,10/17/2024,Email,Android,Others,18-24,Female,Ads,no
u00068,11/3/2024,11/5/2024,Email,IOS,India,25-34,Male,Influencer,no
u00069,12/14/2024,12/16/2024,Google,Android,India,45+,Female,Ornagic,no
u00070,10/11/2024,10/13/2024,Google,Android,USA,25-34,Female,Ads,no
u00071,10/14/2024,10/16/2024,Google,Android,India,35-44,Female,Ornagic,no
u00072,10/6/2024,10/8/2024,Google,Android,India,25-34,Female,Influencer,no
u00073,11/5/2024,11/7/2024,Email,Android,USA,25-34,Others,Influencer,no
u00074,11/22/2024,11/24/2024,Email,IOS,India,18-24,Female,Ornagic,no
u00075,12/25/2024,12/27/2024,Google,IOS,India,18-24,Female,Ads,no
u00076,10/12/2024,,Email,Android,India,25-34,Female,Ornagic,no
u00077,11/17/2024,11/19/2024,Google,Android,USA,18-24,Female,Ads,no
u00078,12/2/2024,12/4/2024,Google,Android,UK,25-34,Male,Ornagic,no
u00079,11/16/2024,11/18/2024,Google,Android,India,25-34,Female,Influencer,no
u00080,10/30/2024,11/1/2024,Phone,Android,UK,35-44,Female,Ornagic,yes
u00081,12/30/2024,1/1/2025,Email,IOS,UK,35-44,Female,Ads,no
u00082,12/24/2024,12/26/2024,Google,Android,USA,18-24,Male,Ornagic,yes
u00083,10/17/2024,10/19/2024,Phone,Android,UK,18-24,Male,Ads,no
u00084,12/30/2024,1/1/2025,Email,Android,India,18-24,Male,Ads,no
u00085,11/1/2024,11/3/2024,Phone,Android,USA,18-24,Male,Ornagic,no
u00086,10/5/2024,10/7/2024,Phone,Android,USA,25-34,Others,Influencer,no
u00087,11/10/2024,,Email,IOS,USA,18-24,Female,Influencer,no
u00088,11/20/2024,11/22/2024,Google,IOS,India,18-24,Male,Ornagic,no
u00089,11/28/2024,11/30/2024,Email,Android,India,25-34,Female,Ornagic,no
u00090,10/15/2024,,Email,Android,India,25-34,Others,Ads,yes
u00091,11/19/2024,11/21/2024,Phone,IOS,UK,25-34,Male,Ads,yes
u00092,10/1/2024,10/3/2024,Email,Android,USA,18-24,Male,Ads,no
u00093,11/30/2024,12/2/2024,Email,Android,India,25-34,Male,Ornagic,yes
